Building Id,Cogent Market,Ranking,Address,Building/Node Name,City,State,Zip Code,On Net Date,On Net Status,Site Type
58676-1,Montreal,1,875 St. Antoine W,COI Hub - YMQ01 - Metro Optic,Montreal,QC,H3C 1A6,3/31/16,Lit,Carrier Neutral Data Center
58677-0,Boston,2,2 Prince Court,Unknown,Lowell,MA,1852,6/14/16,Scheduled,Carrier Neutral Data Center
5897-1,"Washington, DC",1,1755 Old Meadow - 1st Floor,Level 3,McLean,VA,22102,8/16/01,Lit,Carrier Neutral Data Center
5948-3,Kansas City,1,1102 Grand Avenue MMR,Building MMR,Kansas City,MO,64106,3/28/11,Lit,Carrier Neutral Data Center
59546-0,Amsterdam,1,Duivendrechtsekade 80A,Telecity AMS TC6,Amsterdam,NL,1096 AH,10/15/15,Lit,Carrier Neutral Data Center
59724-0,Dallas,1,1515 Round Table Drive,Carrier 1 Data Center,Dallas,TX,75247,3/11/16,Lit,Carrier Neutral Data Center
59877-0,Columbus,2,251 Neilston St,Zayo,Columbus,,43215,6/30/16,Scheduled,Carrier Neutral Data Center
60040-0,Dusseldorf,1,In der Steele 39,Interxion DUS 02,Dusseldorf,GM,40599,11/17/15,Lit,Carrier Neutral Data Center
6014-1,San Francisco,1,220 Bush St,PCX/NYSE Datacenter,San Francisco,CA,94104,11/6/08,Lit,Carrier Neutral Data Center
60372-1,Tokyo,1,Otemachi 1-9-5,Equinix TY4,Tokyo,JP,100 0004,2/23/16,Lit,Carrier Neutral Data Center
6050-1,White Plains,1,1 Manhattanville Rd 1st Floor,RFA Data Center,Purchase,NY,10577,9/13/11,Lit,Carrier Neutral Data Center
6095-1,Denver,1,393 Inverness Pkwy,zColo (formerly operated by Latisys),Englewood,CO,80112,11/10/11,Lit,Carrier Neutral Data Center
6096-3,Santa Clara,1,3080 Raymond St,Layer 42,Santa Clara,CA,95054,12/19/13,Lit,Carrier Neutral Data Center
6097-0,Miami,1,100 NE 80th Terrace,100 NE 80th Terrace,Miami,FL,33138,7/18/02,Lit,Carrier Neutral Data Center
6098-3,St. Louis,1,900 Walnut Street,900 Walnut Street MMR,St. Louis,MO,63101,4/28/09,Lit,Carrier Neutral Data Center
6100-0,Chicago,1,1808 Swift Drive,zColo (formerly operated by Latisys),Oak Brook,IL,60523,8/24/10,Lit,Carrier Neutral Data Center
6103-1,Seattle,1,1904-1914 Third Ave,SB Tech Center,Seattle,WA,98101,5/3/02,Lit,Carrier Neutral Data Center
6104-1,"Washington, DC",1,7990 Science Application Ct,"Equinix (Formerly S&D, PAIX)",Vienna,VA,22102,3/18/01,Lit,Carrier Neutral Data Center
6127-1,Santa Clara,1,534 Stockton Ave 1st Floor,365 Main (Formerly Equinix),San Jose,CA,95126,8/19/02,Lit,Carrier Neutral Data Center
61583-1,Cambridge,2,"Newton House, Cambridge Business Park, Cowley Road",Redcentric- Cambridge Hub,Cambridge,UK,CB4 0WZ,7/30/16,In Progress,Carrier Neutral Data Center
6205-1,Charlotte,1,401 South College Street,Duke Net,Charlotte,NC,28202,8/2/11,Lit,Carrier Neutral Data Center
6290-1,Kansas City,1,324 E 11th St,Netsolus,Kansas City,MO,64106,8/31/07,Lit,Carrier Neutral Data Center
6290-3,Kansas City,1,324 E 11th St,Wholesale Internet Data Center,Kansas City,MO,64106,3/20/09,Lit,Carrier Neutral Data Center
6412-0,Jacksonville,1,421 West Church Street,Jax Telecom Center-Landing Pad,Jacksonville,FL,32202,10/9/15,Lit,Carrier Neutral Data Center
6412-1,Jacksonville,1,421 West Church Street,Cologix Meet-Me-Room,Jacksonville,FL,32202,11/21/06,Lit,Carrier Neutral Data Center
6412-5,Jacksonville,1,421 West Church Street,GoRack,Jacksonville,FL,32202,9/4/15,Lit,Carrier Neutral Data Center
6440-1,New York,1,882 3rd Ave - 9th Floor,vXchnge,Brooklyn,NY,11232,2/28/02,Lit,Carrier Neutral Data Center
6456-1,Santa Clara,1,1380 Kifer Road,COI Pop - SJC02 - Level3,Sunnyvale,CA,94086,9/20/01,Lit,Carrier Neutral Data Center
6463-1,San Diego,1,8913 Complex Dr,Fiber Alley Data Centers (AIS),San Diego,CA,92123,8/16/06,Lit,Carrier Neutral Data Center
6465-1,Santa Clara,1,150 South 1st St,DataPipe,San Jose,CA,95113,10/31/07,Lit,Carrier Neutral Data Center
6467-1,Denver,1,910 15th St - Suite 751,CoreSite DE1 (fka Comfluent),Denver,CO,80202,3/5/01,Lit,Carrier Neutral Data Center
6467-5,Denver,1,910 15th St,910 Telecom,Denver,CO,80202,6/28/13,Lit,Carrier Neutral Data Center
6468-1,Portland,1,921 SW Washington St,COI Hub - PDX01 - Pittock Bldg,Portland,OR,97205,3/24/05,Lit,Carrier Neutral Data Center
6469-0,Miami,1,200 SE 1st St,200 Southeast 1st Building,Miami,FL,33131,8/22/01,Lit,Carrier Neutral Data Center
6469-3,Miami,1,200 SE 1st St,Last Mile Connection,Miami,FL,33131,8/6/07,Lit,Cogent Data Center
6484-1,Los Angeles,1,650 S Grand Ave - Suite 1000,US Colo,Los Angeles,CA,90017,10/12/01,Lit,Carrier Neutral Data Center
6484-2,Los Angeles,1,650 S Grand Ave - 11th Floor,Subrigo (fka Downtown Colo Corp),Los Angeles,CA,90017,2/28/02,Lit,Carrier Neutral Data Center
6503-1,Atlanta,1,180 Peachtree St NW,Equinix (former Switch & Data),Atlanta,GA,30303,1/19/11,Lit,Carrier Neutral Data Center
6505-0,Atlanta,1,300 Satellite Blvd,QTS Datacenter,Suwanee,GA,30024,12/10/10,Lit,Carrier Neutral Data Center
6506-1,Atlanta,1,345 Courtland St NE - 1st Floor,Level 3,Atlanta,GA,30308,9/30/05,Lit,Carrier Neutral Data Center
6523-1,Boston,1,74 West Street,Equinix (Formerly S&D),Waltham,MA,2451,8/17/01,Lit,Carrier Neutral Data Center
6531-1,Chicago,1,"725 S Wells, Suite 300",Digitlal Capital Partners,Chicago,IL,60610,5/16/02,Lit,Carrier Neutral Data Center
6532-1,Chicago,1,"800 Jorie Blvd, Suite 120",COI Pop - ORD11 - NaviSite,Oak Brook,IL,60523,5/7/02,Lit,Carrier Neutral Data Center
6534-2,Dallas,1,"1333 North Stemmons Freeway, Suite 110",SoftLayer,Dallas,TX,75207,9/19/03,Lit,Carrier Neutral Data Center
6539-1,"Washington, DC",1,11513 Sunset Hills Rd,COI Pop - DCA02 - InfoRelay (Formerly 365 Main),Reston,VA,22090,6/11/02,Lit,Carrier Neutral Data Center
6540-0,"Washington, DC",1,1506 Moran Rd,1506 Moran Rd,Sterling,VA,20166,3/31/14,Lit,Carrier Neutral Data Center
6544-0,Denver,1,1500 Champa St,1500 Champa St,Denver,CO,80202,5/2/02,Lit,Carrier Neutral Data Center
6545-1,Denver,1,1850 Pearl Street - 1st Floor,Level 3,Denver,CO,80203,10/12/01,Lit,Carrier Neutral Data Center
6551-1,Denver,1,9706 E Easter Ave Suite 160,Equinix (Formerly S&D),Englewood,CO,80112,10/31/02,Lit,Carrier Neutral Data Center
6569-2,Orange County,1,300 S Harbor Blvd,COI Pop - SNA03 - Orange County Cogent Data Center,Anaheim,CA,92805,12/11/09,Lit,Cogent Data Center
6573-1,Los Angeles,1,626 Wilshire Boulevard,Telehouse,Los Angeles,CA,90017,4/29/02,Lit,Carrier Neutral Data Center
6587-1,San Diego,1,8929 Aero Dr - 1st Floor,COI Pop - SAN03 - Level3,San Diego,CA,92123,10/17/01,Lit,Carrier Neutral Data Center
6589-1,San Diego,1,9530 Towne Centre Drive,Cogent Data Center,San Diego,CA,92121,9/14/15,Lit,Cogent Data Center
6590-1,San Diego,1,"9725 Scranton Rd First Floor, Suite 1",AIS Communications,San Diego,CA,92121,11/2/01,Lit,Carrier Neutral Data Center
6600-1,Santa Clara,1,11 Great Oaks Blvd,COI Pop - SJC03 - Equinix,San Jose,CA,95119,10/18/02,Lit,Carrier Neutral Data Center
6608-1,Santa Clara,1,250 stockton Avenue - 1st Floor,Silicon Valley Telecom & Internet,San Jose,CA,95126,9/26/03,Lit,Carrier Neutral Data Center
6609-1,Santa Clara,1,255 Caspian Dr,Equinix SV4,Sunnyvale,CA,94089,2/22/08,Lit,Carrier Neutral Data Center
6610-0,Santa Clara,1,2807 Mission College Boulevard,QTS Datacenter,Santa Clara,CA,95054,8/20/10,Lit,Carrier Neutral Data Center
6613-1,Santa Clara,1,444 Toyama 1st Floor,Equinix (Formerly Switch and Data),Sunnyvale,CA,0,2/15/08,Lit,Carrier Neutral Data Center
6618-1,Seattle,1,1000 Denny Way - 1st Floor,Level 3,Seattle,WA,98109,12/6/01,Lit,Carrier Neutral Data Center
6628-1,Austin,1,"7401 Ben White Blvd East, Bldg 1",Data Foundry,Austin,TX,78741,6/17/09,Lit,Carrier Neutral Data Center
6633-1,Stamford,1,21 Harbor View,Level 3,Stamford,CT,6902,12/27/07,Lit,Carrier Neutral Data Center
6637-1,Charlotte,1,113 N Myers St,Telx MMR,Charlotte,NC,28202,6/1/07,Lit,Carrier Neutral Data Center
6640-1,Newark,1,275 Hartz Way 1st Floor,COI Pop - EWR03 - Equinix NY2,Secaucus,NJ,7094,9/29/06,Lit,Carrier Neutral Data Center
6655-1,Orlando,1,440 West Kennedy Blvd.,Hostdime,Orlando,FL,32810,9/23/15,Lit,Carrier Neutral Data Center
6656-1,Miami,1,49 NW 5th Street - 4th Floor,Level 3,Miami,FL,33128,10/7/05,Lit,Carrier Neutral Data Center
6657-0,Miami,1,50 NE 9th St.,COI Pop - MIA03 - Terremark Nap of Americas,Miami,FL,33132,6/10/02,Lit,Carrier Neutral Data Center
6686-0,Orlando,1,100 West Lucerne Circle,100 West Lucerne Circle,Orlando,FL,32801,10/11/02,Lit,Carrier Neutral Data Center
7023-1,New York,1,85 10th Ave,Level 3,New York,NY,10011,1/19/07,Lit,Carrier Neutral Data Center
7023-2,New York,1,85 10th Ave,TELEHOUSE - New York Chelsea,New York,NY,10011,10/5/11,Lit,Carrier Neutral Data Center
7216-1,Boston,1,56 Roland St - 2nd Floor,NEON,Boston,MA,2129,6/6/02,Lit,Carrier Neutral Data Center
7274-1,Seattle,1,140 Fourth Ave. N,Fisher Plaza MMR & Datacenter,Seattle,WA,98109,12/3/09,Lit,Carrier Neutral Data Center
7344-0,Santa Clara,1,3105 Alfred St,Digital Realty Trust,Santa Clara,CA,95054,6/16/15,Lit,Carrier Neutral Data Center
7352-0,San Francisco,1,365 Main Street,The Main Exchange,San Francisco,CA,95105,10/6/04,Lit,Carrier Neutral Data Center
7366-1,Santa Clara,1,1735 Lundy Ave,Equinix,San Jose,CA,95131,8/30/06,Lit,Carrier Neutral Data Center
7412-1,Santa Clara,1,9 Great Oaks Boulevard,Equnix SV5,San Jose,CA,95119,9/26/11,Lit,Carrier Neutral Data Center
7463-3,Tampa,1,412 East Madison Ave,Hostway,Tampa,FL,33602,3/5/16,Lit,Carrier Neutral Data Center
7475-0,Worcester,1,474 Main Street,COI Hub - ORH01 - Lightower Collocation,Worcester,MA,1608,1/13/09,Lit,Carrier Neutral Data Center
7549-1,Atlanta,1,470 E Paces Ferry Rd NE,470 Exchange,Atlanta,GA,30305,8/14/15,Lit,Carrier Neutral Data Center
7563-1,Philadelphia,1,1500 Spring Garden St,vXchnge,Philadelphia,PA,19130,9/30/15,Lit,Carrier Neutral Data Center
7563-2,Philadelphia,1,1500 Spring Garden St,SunGard,Philadelphia,PA,19130,6/30/15,Lit,Carrier Neutral Data Center
7606-2,"Washington, DC",1,21715 Filigree Court Bldg. F,(Equinix DC 2)-Cabinet in Bldg. F,Ashburn,VA,20147,4/28/06,Lit,Carrier Neutral Data Center
821-1,Dallas,1,8600 Harry Hines Blvd,zColo (formerly CoreXchange),Dallas,TX,75235,11/30/11,Lit,Carrier Neutral Data Center
899-0,Los Angeles,1,624 S Grand Ave,COI Pop - LAX04 - One Wilshire,Los Angeles,CA,90017,9/1/01,Lit,Carrier Neutral Data Center
9789-2,Atlanta,1,1033 Jefferson St,QTS Datacenter,Atlanta,GA,30319,5/7/10,Lit,Carrier Neutral Data Center
982-1,Miami,1,100 N Biscayne Blvd 2nd Floor,Digiport,Miami,FL,33132,11/15/02,Lit,Carrier Neutral Data Center
9846-0,Orange County,1,2441 W. La Palma Ave,COI Hub - SNA02 - Anaheim,Anaheim,CA,92801,2/29/08,Lit,Carrier Neutral Data Center
9862-1,Tampa,1,7909 Woodland Center Blvd - 1st Floor,Level 3,Tampa,FL,33614,3/25/02,Lit,Carrier Neutral Data Center
9863-0,San Diego,1,8915 Complex Dr,8915 Complex Dr,San Diego,CA,92123,6/30/14,Lit,Carrier Neutral Data Center
991-1,Houston,1,1301 Fannin St - Level 3,Level 3 (was Looking Glass),Houston,TX,77002,7/17/02,Lit,Carrier Neutral Data Center
991-4,Houston,1,1301 Fannin St 1100,Internap,Houston,TX,77002,5/9/13,Lit,Carrier Neutral Data Center
