Building Id,Cogent Market,Ranking,Address,Building/Node Name,City,State,Zip Code,On Net Date,On Net Status,Site Type
38762-0,Cincinnati,1,229 West 7th St,CyrusOne,Cincinnati,OH,45202,12/30/14,Lit,Carrier Neutral Data Center
38803-0,"Washington, DC",1,18155 Technology Drive - Pod B,NAP of the Capital Region - Pod B,Culpeper,VA,22701,9/28/12,Lit,Carrier Neutral Data Center
38804-0,"Washington, DC",1,18155 Technology Drive - Pod C,NAP of the Capital Region - Pod C,Culpeper,VA,22701,9/28/12,Lit,Carrier Neutral Data Center
38844-0,Luxembourg,1,3 op der poukewiss,DC 2 Roost LuxConnect,Rouscht,0,L 7795,6/27/13,Lit,Carrier Neutral Data Center
38874-1,Munich,1,Beta-Strass 1,COI HUB - MUC03 - MTI/GLH Unterfoehring,Unterf̦hring,GM,85774,7/22/15,Lit,Carrier Neutral Data Center
38959-0,South Bend,1,1440 Ignition Drive South,Data Realty,South Bend,IN,46601,3/12/13,Lit,Carrier Neutral Data Center
38963-0,Luxembourg,1,"12 D, Rue Guillaume J. Kroll",European Data Hub,Luxembourg,0,L-1882,9/26/13,Lit,Carrier Neutral Data Center
38974-1,Istanbul,1,Kimiz SOK No: 30 Cobancesme Bahcellievler,COI Hub - IST01 - Superonline Yenibosna Data Cente,Istanbul,TR,34194,11/6/12,Lit,Carrier Neutral Data Center
38974-3,Istanbul,1,Kimiz SOK No: 30 Cobancesme Bahcellievler,Mednautilus,Istanbul,TR,34194,9/11/14,Lit,Carrier Neutral Data Center
39311-0,Paris,1,61 rue Julian Grimau,Iliad DC 3,Vitry sur Seine,FR,94400,12/20/12,Lit,Carrier Neutral Data Center
39314-0,Amsterdam,1,Cateringweg 5,Nap of Amsterdam,Schiphol,NL,1118 AM,3/1/13,Lit,Carrier Neutral Data Center
39343-0,"Washington, DC",1,43830 Devin Shafron,Digital Realty Trust - Bldg. F,Ashburn,VA,20147,12/21/12,Lit,Carrier Neutral Data Center
39498-0,New Jersey,1,2 Peekay Drive,COI Pop - EWR05 - Telx,Clifton,NJ,7014,9/30/13,Lit,Carrier Neutral Data Center
3954-1,Dallas,1,"400 S Akard St, 2nd Floor",DataBank,Dallas,TX,75202,9/11/06,Lit,Carrier Neutral Data Center
3954-3,Dallas,1,400 S Akard St,COI Pop - DFW09 - Last Mile Connection,Dallas,TX,75202,8/3/07,Lit,Cogent Data Center
3954-4,Dallas,1,400 S Akard St,LMC MMR,Dallas,TX,75202,8/3/07,Lit,Carrier Neutral Data Center
40090-0,Sacramento,1,2999 Gold Canal Dr,DataCate,Rancho Cordova,CA,95670,6/1/16,Lit,Carrier Neutral Data Center
40138-0,Nuremberg,1,Sigmundstr. 135,Hetzner Data Center,Nuremberg,0,90431,4/16/13,Lit,Carrier Neutral Data Center
40213-1,Miami,1,3701 NW 82nd Avenue Unit,Cogent Data Center,Doral,FL,33166,5/9/14,Lit,Cogent Data Center
40338-0,Newark,1,800 Secaucus Road,Equinix NY5,Secaucus,NJ,7094,9/27/12,Lit,Carrier Neutral Data Center
404-1,Fort Worth,1,801 Cherry St Suite LLG50,Enterhost,Fort Worth,TX,76102,10/10/11,Lit,Carrier Neutral Data Center
40500-0,Frankfurt,1,Hanauer Landstrasse 308a,Interxion FRA 5,Frankfurt,GM,60314,10/10/12,Lit,Carrier Neutral Data Center
40501-0,Frankfurt,1,Hanauer Landstrasse 300a,InterXion FRA 6,Frankfurt,GM,60314,10/10/12,Lit,Carrier Neutral Data Center
40502-0,Frankfurt,1,Hanauer Landstrasse 296a,InterXion FRA 7,Frankfurt,GM,60314,10/10/12,Lit,Carrier Neutral Data Center
40504-0,Madrid,1,"Calle Maria Tubau, 8 4a floor",Ibercom Datacenter,Madrid,0,28050,1/10/13,Lit,Carrier Neutral Data Center
40681-0,Chisinau,1,Decebal Boulevard 2,COI Hub - KIV01 - Chisinau,Chisinau,MV,MD-2001,1/16/13,Lit,Carrier Neutral Data Center
40764-0,Belgrade,1,Boulevar Vojvode Misica 37,COI Hub - BEG02 - Beotel (fka Verat),Belgrade,BG,11100,11/26/14,Lit,Carrier Neutral Data Center
40822-0,Dallas,1,2501 South State Highway 121 BUS,CyrusOne,Lewisvlle,TX,75067,3/17/15,Lit,Carrier Neutral Data Center
41187-0,Madrid,1,Calle Albanaz 73,Interxion Mad 2,Madrid,ES,28037,11/29/12,Lit,Carrier Neutral Data Center
4132-1,Dallas,1,8435 Stemmons Fwy N,Telx,Dallas,TX,75247,2/28/11,Lit,Carrier Neutral Data Center
41753-0,Phoenix,1,2600 W Germann Rd,H5 DATA Centers,Chandler,AZ,85286,9/12/14,Lit,Carrier Neutral Data Center
41909-0,Portland,1,3825 NW Aloclek Place,TELX PRT1,Hillsboro,OR,97124,12/20/13,Lit,Carrier Neutral Data Center
41909-1,Portland,1,3825 NW Aloclek Place,DRT POP,Hillsboro,OR,97124,3/30/16,Lit,Carrier Neutral Data Center
42213-0,Denver,1,6900 S Peoria Street,zColo (formerly operated by Latisys),Centennial,CO,80112,6/27/14,Lit,Carrier Neutral Data Center
42396-0,Mexico City,1,Prologacion Paseo de la Reforma No. 5396,KIO ll (Fase 5 & 6) Mexico,Mexico City,MX,5000,6/29/15,Lit,Carrier Neutral Data Center
42786-0,"Washington, DC",1,21551 Beaumeade Circle,Equinix DC 10,Ashburn,VA,20147,3/26/13,Lit,Carrier Neutral Data Center
42787-0,"Washington, DC",1,21721 Filigree Court B,Equinix DC11,Ashburn,VA,20147,3/26/13,Lit,Carrier Neutral Data Center
42839-0,Zurich,1,Almendstasse 13,Equinix ZH 5,Oberengstringen,CH,8102,6/14/13,Lit,Carrier Neutral Data Center
42840-1,Seattle,1,2020 5th Ave,Equinix Seattle [SEA3],Seattle,WA,98121,3/29/13,Lit,Carrier Neutral Data Center
42937-1,Las Vegas,1,823 Pilot Rd,ColoXchange,Las Vegas,NV,89119,10/29/14,Lit,Carrier Neutral Data Center
43331-0,Dallas,1,904 Quality Way,DataBank at Digital Dallas DRT Campus,Richardson,TX,75081,1/20/14,Lit,Carrier Neutral Data Center
43364-0,Phoenix,1,2335 S. Ellis Street,Cyrus One Data Center Bldg 3,Chandler,AZ,85286,9/21/13,Lit,Carrier Neutral Data Center
43460-0,South Bend,1,746 Arnold Street,ColoStore,South Bend,IN,46619,12/19/13,Lit,Carrier Neutral Data Center
43474-0,"Washington, DC",1,43940 Digital Loudoun Plaza,DRT Ashburn Campus - Building G,Ashburn,VA,20147,7/19/13,Lit,Carrier Neutral Data Center
43475-0,"Washington, DC",1,43790 Devin Shafron Drive,DRT Ashburn Campus - Bldg. E,Ashburn,VA,20147,9/30/13,Lit,Carrier Neutral Data Center
43476-0,"Washington, DC",1,43915 Devin Shafron Drive,DRT Ashburn Campius - Bldg. A,Ashburn,VA,20147,9/30/13,Lit,Carrier Neutral Data Center
43478-0,"Washington, DC",1,43791 Devin Shafron Drive,DRT Ashburn Campus - Bldg. D,Ashburn,VA,20147,9/30/13,Lit,Carrier Neutral Data Center
43479-0,"Washington, DC",1,43831 Devin Shafron Drive,DRT Ashburn Campus - Bldg. C,Ashburn,VA,20147,9/30/13,Lit,Carrier Neutral Data Center
43596-0,Austin,1,7301 Metropolis Dr,Cyrus One - Met Center II,Austin,TX,78744,12/11/14,Lit,Carrier Neutral Data Center
43738-1,London,1,69-77 Paul Street,Epsilon,London,0,EC2A 4NW,8/29/14,Lit,Carrier Neutral Data Center
43827-0,Sacramento,1,1312 Striker Avenue,Raging Wire CA2,Sacramento,CA,95834,6/18/13,Lit,Carrier Neutral Data Center
44182-0,Portland,1,21515 NW Evergreen Parkway,Fortune Data Center,Hillsboro,OR,97124,12/20/13,Lit,Carrier Neutral Data Center
442-8,Atlanta,1,34 Peachtree St NW,Total Server,Atlanta,GA,30303,4/13/11,Lit,Carrier Neutral Data Center
44570-0,Dallas,1,850 E Collins Boulevard,Digital Dallas DRT Campus,Richardson,TX,75081,3/25/14,Lit,Carrier Neutral Data Center
44571-0,Dallas,1,950 E Collins Boulevard,Digital Dallas DRT Campus,Richardson,TX,75081,3/25/14,Lit,Carrier Neutral Data Center
44572-0,Dallas,1,900 Quality Way,Digital Dallas DRT Campus,Richardson,TX,75081,3/25/14,Lit,Carrier Neutral Data Center
44573-0,Dallas,1,908 Quality Way,Digital Dallas DRT Campus,Richardson,TX,75081,3/25/14,Lit,Carrier Neutral Data Center
44574-0,Dallas,1,1215 Integrity Drive,Digital Dallas DRT Campus,Richardson,TX,75081,3/25/14,Lit,Carrier Neutral Data Center
44575-0,Dallas,1,905 Security Row,Digital Dallas DRT Campus,Richardson,TX,75081,3/25/14,Lit,Carrier Neutral Data Center
44735-0,Houston,1,5170 Westway Park Blvd,Cyrus One - Houston West,Houston,TX,77041,9/3/13,Lit,Carrier Neutral Data Center
4491-1,Denver,1,639 E 18th Ave,CoreSite DE2 (fka Comfluent),Denver,CO,80203,4/1/09,Lit,Carrier Neutral Data Center
44946-0,Dortmund,1,Revierstrasse 3,COI Hub - DTM02 - MTI (Dortmund),Dortmund,GM,44379,9/26/13,Lit,Carrier Neutral Data Center
45024-0,Newark,1,1 Enterprise Avenue North,Internap,Secaucus,NJ,7094,5/12/14,Lit,Carrier Neutral Data Center
45130-0,Manchester,1,2 Adbaston Road Trafford Road,UK Fast MaNOC4,Trafford Park Manchester,UK,M32 0TP,12/22/14,Lit,Carrier Neutral Data Center
45260-0,Jacksonville,1,8324 Baymeadows Way,TierPoint,Jacksonville,FL,32256,9/5/14,Lit,Carrier Neutral Data Center
45261-1,Chicago,1,840 S Canal Street,Canal Data Center Complex,Chicago,IL,60607,9/26/14,Lit,Carrier Neutral Data Center
45727-0,Riga,1,Zakusalas Krastmala 1,COI Hub - RIX01 - LVRTC TV Tower,Riga,LV,LV 1050,12/5/13,Lit,Carrier Neutral Data Center
45972-0,"Washington, DC",1,44874 Moran Rd,Carpathia IAD2,Sterling,VA,20166,3/31/14,Lit,Carrier Neutral Data Center
46110-0,Zurich,1,Industriestrasse 33,Green Data Center,Lupfig,CH,5242,4/23/15,Lit,Carrier Neutral Data Center
46203-0,San Diego,1,8917 Complex Drive,8917 Complex Drive,San Diego,CA,92123,12/29/14,Lit,Carrier Neutral Data Center
46204-0,San Diego,1,8939 Complex Drive,8939 Complex Drive,San Diego,CA,92123,3/31/14,Lit,Carrier Neutral Data Center
46218-0,Dallas,1,2440 Marsh Lane,Digital Realty Trust,Carrollton,TX,75006,3/25/15,Lit,Carrier Neutral Data Center
46348-0,Houston,1,1510 Prime West Parkway-West MMR,StratITsphere,Katy,TX,77449,10/1/15,Lit,Carrier Neutral Data Center
46470-0,Dallas,1,1649 W. Frankford Rd,Cyrus One,Carrollton,TX,75007,3/6/15,Lit,Carrier Neutral Data Center
46680-0,Slough-West London,1,14 Liverpool Street,Virtus LON4,London,0,SL1 4QZ,7/28/14,Lit,Carrier Neutral Data Center
46976-0,Madrid,1,Calle Marzo 18,IPCORE Datacentre,Madrid,ES,28022,3/6/14,Lit,Carrier Neutral Data Center
47087-1,Phoenix,1,3011 S. 52nd Ave,EdgeConneX,Tempe,AZ,85282,9/30/14,Lit,Carrier Neutral Data Center
