peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Comcast ,,,,7060 Empire Central Drive,,,,Houston,77040,TX,USA,,,,,,,,
,,,,Comcast ,,,,3004 Irving Blvd.,,,,Dallas,75247,TX,USA,,,,,,,,
,,,,Comcast ,,,,21700 Melrose Ave.,,,,Southfield,48075,MI,USA,,,,,,,,
,,,,Comcast ,,,,30 Temple Street,,,,Nashua,3060,NH,USA,,,,,,,,
,,,,Comcast ,,,,15400 SE Place,,,,Bellevue,98007,WA,USA,,,,,,,,
,,,,Comcast ,,,,5480 Feltl Road,,,,Minnetonka,55343,MN,USA,,,,,,,,
,,,,Comcast ,,,,2 Prince Ave,,,,Lowell,2110,MA,USA,,,,,,,,
,,,,Comcast ,,,,"85 10th Avenue, 7th Floor",,,,New York,10011,NY,USA,,,,,,,,
,,,,Comcast ,,,,6431 Longhorn Dr,,,,Irving,,TX,USA,,,,,,,,
,,,,Comcast ,,,,1920 East Maple Ave,,,,El Segundo,90245,CA,USA,,,,,,,,
,,,,Comcast ,,,,10105 David Taylor Drive,,,,Charlotte,28262,NC,USA,,,,,,,,
,,,,Comcast ,,,,4227 Lafayette Center Dr,,,,Chantilly,20151,VA,USA,,,,,,,,
,,,,Comcast ,,,,59 Innerbelt Road,,,,Somerville,2143,MA,USA,,,,,,,,
,,,,Comcast ,,,,34 Exchange Place,,,,Jersey City,7302,NJ,USA,,,,,,,,
,,,,Comcast ,,,,313 Inverness Way South,,,,Englewood,80112,CO,USA,,,,,,,,
,,,,Comcast ,,,,3830 Singer Boulevard NE,,,,Albuquerque,87109,NM,USA,,,,,,,,
,,,,Comcast ,,,,3225 Alderwood Mall Blvd - Suite E,,,,Lynnwood,98036,WA,USA,,,,,,,,
,,,,Comcast ,,,,801 S. 16th Street,,,,Phoenix,85034,AZ,USA,,,,,,,,
,,,,Comcast ,,,,205 W. 9th St.,,,,Austin,78701,TX,USA,,,,,,,,
,,,,Comcast ,,,,14500 W. 105th St.,,,,Lenexa,66215,KS,USA,,,,,,,,
,,,,Comcast ,,,,800 Secaucus Road,,,,Secaucus,7094,NJ,USA,,,,,,,,
,,,,Comcast ,,,,3200 Blake Street,,,,Denver,80205,CO,USA,,,,,,,,
,,,,Comcast ,,,,136 South Main Street ( 136 South Temple Street),,,,Salt Lake City,84101,UT,USA,,,,,,,,
,,,,Comcast ,,,,23605 NW Huffman St,,,,Hillsboro,97124,OR,USA,,,,,,,,
,,,,Comcast ,,,,5515 Nobel Drive,,,,Fitchburg,53711,WI,USA,,,,,,,,
,,,,Comcast ,,,,21110 Ridgetop Circle,,,,Sterling,20166,VA,USA,,,,,,,,
,,,,Comcast ,,,,3175 Spring Street,,,,Redwood City,94063,CA,USA,,,,,,,,
,,,,Comcast ,,,,11003 Corporate Center Drive,,,,Houston,77041,TX,USA,,,,,,,,
,,,,Comcast ,,,,123 Central Avenue NW,,,,Albuquerque,87102,NM,USA,,,,,,,,
,,,,Comcast ,,,,505 Marquette Ave NW,,,,Albuquerque,87120,NM,USA,,,,,,,,
,,,,Comcast ,,,,10575 SW Cascade Avenue,Suite F,,,Tigard,97223,OR,USA,,,,,,,,
,,,,Comcast ,,,,4005 S Mendenhall Road,,,,Memphis,38115,TN,USA,,,,,,,,
,,,,Comcast ,,,,1531 Commonwealth Drive,,,,Tallahassee,32303,FL,USA,,,,,,,,
,,,,Comcast ,,,,650 Randolph Road,"Suite 110, 120",,,Franklin Township,8854,NJ,USA,,,,,,,,
,,,,Comcast ,,,,1745 W 5th Ave.,,,,Eugene,97402,OR,USA,,,,,,,,
,,,,Comcast ,,,,360 E. 22nd Street,,,,Lombard,60148,IL,USA,,,,,,,,
,,,,Comcast ,,,,505 West Merrill,,,,Indianapolis,46225,IN,USA,,,,,,,,
,,,,Comcast ,,,,200 Technology Drive,,,,Pittsburgh,15219,PA,USA,,,,,,,,
,,,,Comcast ,,,,1050 17th Street,,,,Denver,80265,CO,USA,,,,,,,,
,,,,Comcast ,,,,133 N. Broadway Street,,,,Knoxville,37932,TN,USA,,,,,,,,
,,,,Comcast ,,,,2575 Willow Point Way,103,,,Knoxville,37931,TN,USA,,,,,,,,
,,,,Comcast ,,,,708 Melrose Avenue,,,,Berry Hill,37211,TN,USA,,,,,,,,
,,,,Comcast ,,,,111 Pavonia Ave (aka 111 Town Square Place),,,,Jersey City,7310,NJ,USA,,,,,,,,
,,,,Comcast ,,,,3 Corporate Pl,,,,Piscataway,8854,NJ,USA,,,,,,,,
,,,,Comcast ,,,,250 Stockton Avenue,,,,San Jose,95126,CA,USA,,,,,,,,
,,,,Comcast ,,,,12031 North Freeway,,,,Houston,77067,TX,USA,,,,,,,,
,,,,Comcast ,,,,8413 Hempstead Road,,,,Houston,,TX,USA,,,,,,,,
,,,,Comcast ,,,,2990 Sidco Ave,,,,Nashville,37204,TN,USA,,,,,,,,
,,,,Comcast ,,,,155 N Michigan Street,,,,Chicago,60601,IL,USA,,,,,,,,
,,,,Comcast ,,,,2800 S. Ashland Ave,,,,Chicago,60608,IL,USA,,,,,,,,
,,,,Comcast ,,,,303 E. Washington Street,,,,Bloomington,61701,IL,USA,,,,,,,,
,,,,Comcast ,,,,300 JFK Boulevard East,,,,Weehawken,7086,NJ,USA,,,,,,,,
,,,,Comcast ,,,,5115 Arnold,,,,McClellan,,CA,USA,,,,,,,,
,,,,Comcast ,,,,9000 Foothills,,,,Roseville,,Ca,USA,,,,,,,,
,,,,Comcast ,,,,14197 SW Millikan Way,,,,Cedar Hills,97005,OR,USA,,,,,,,,
,,,,Comcast ,,,,3255 Neil Armstrong Blvd.,,,,Eagan,55121,MN,USA,,,,,,,,
,,,,Comcast ,,,,451 D Street,3rd Floor,,,Boston,2210,MA,USA,,,,,,,,
,,,,Comcast ,,,,60 Hudson St. Suite 1602,,,,New York,10013,NY,USA,,,,,,,,
,,,,Comcast ,,,,18155 Technology Drive,,,,Culpeper,22701,VA,USA,,,,,,,,
,,,,Comcast ,,,,1310 Redwood Way,,,,Petalumma,,CA,USA,,,,,,,,
,,,,Comcast ,,,,2260 Apollo Way,,,,Santa Rosa,,CA,USA,,,,,,,,
,,,,Comcast ,,,,4211 Southwest Freeway,,,,,,,USA,,,,,,,,
,,,,Comcast ,,,,3350 Eastbrook Drive,,,,Fort Collins,,CO,USA,,,,,,,,
,,,,Comcast ,,,,545 E. Algonquin Road,Ste. D,,,Arlington Heights,60005,IL,USA,,,,,,,,
,,,,Comcast ,,,,584 W 5th Ave,,,,Naperville,60563,IL,USA,,,,,,,,
,,,,Comcast ,,,,880 E State Pkwy,,,,Schaumburg,60173,IL,USA,,,,,,,,
,,,,Comcast ,,,,6435 N Hix Road,,,,Westland,,MI,USA,,,,,,,,
,,,,Comcast ,,,,12401 Prosperity Drive,,,,Silver Springs,20904,MD,USA,,,,,,,,
,,,,Comcast ,,,,3864 Courtney Street,,,,Bethlehem,18017,PA,USA,,,,,,,,
,,,,Comcast ,,,,441 Science Park Road,,,,State College,16801,PA,USA,,,,,,,,
,,,,Comcast ,,,,4735 Walnut Street,,,,Boulder,80301,CO,USA,,,,,,,,
,,,,Comcast ,,,,312 Blue Bird Dr,,,,Goodlettsville,,TN,USA,,,,,,,,
,,,,Comcast ,,,,4635 Southwest Freeway ,,,,Houston,77027,TX,USA,,,,,,,,
,,,,Comcast ,,,,1593 NE Expressway,,,,Atlanta,30329,GA,USA,,,,,,,,
,,,,Comcast ,,,,34 Peachtree Street NW,,,,Atlanta,30303,GA,USA,,,,,,,,
,,,,Comcast ,,,,3919 Crescent Circle,,,,South Bend,46628,IN,USA,,,,,,,,
