peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Colo Provider,Colo provider DC code,Optical Transport,IP and EtherCloud,Video
,,,,GTT,,,,555 West Hastings Street,,,,Vancouver,V6B 4N5,BC,Canada,,,,,,,,,Cologix,VAN1,,x,
,,,,GTT,,,,194 Washington Ave,,,,Albany,12210,NY,USA,,,,,,,,,Level3,,x,ICB*,
,,,,GTT,,,,Home Savings Bank Building,11 N Pearl St,,,Albany,12207,NY,USA,,,,,,,,,Windstream,,x,ICB*,
,,,,GTT,,,,12100 Sunrise Valley Drive,,,,Reston,20191,VA,USA,,,,,,,,,CoreSite,VA1,,x,
,,,,GTT,,,,21715 Filigree Ct,,,,Ashburn,20147,VA,USA,,,,,,,,,Equinix,DC2,x,x,x
,,,,GTT,,,,44480 Hastings Dr,,,,Ashburn,20147,VA,USA,,,,,,,,,Dupont Fabros ACC4,ACC4,,x,
,,,,GTT,,,,45580 Terminal Dr,,,,Sterling,20166,VA,USA,,,,,,,,,Discovery Communications,,,,x
,,,,GTT,,,,34 Peachtree St NW,,,,Atlanta,30303,GA,USA,,,,,,,,,Total Server Solutions,,,x,
,,,,GTT,,,,3845 Pleasantdale Rd,,,,Atlanta,30340,GA,USA,,,,,,,,,Encompass Digital Media,,,,x
,,,,GTT,,,,4545 Stonegate Industrial Blvd,,,,Stone Mountain,30083,GA,USA,,,,,,,,,AT&T,,,,x
,,,,GTT,,,,56 Marietta St,,,,Atlanta,30303,GA,USA,,,,,,,,,TelX ,"AT1, AT2, AT3",,x,x
,,,,GTT,,,,The Mansion,1050 Techwood Dr NW,,,Atlanta,30318,GA,USA,,,,,,,,,Turner Broadcasting,,,,x
