peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Level3,,Providence 1,,375 Promenade Street,,,,Providence,2908,RI,USA,,,,,,,,
,,,,Level3,,Columbia 2,,520 Whaley St.,,,,Columbia,29201,SC,USA,,,,,,,,
,,,,Level3,,Spartanburg 1,,145 N Church Street,,,,Spartanburg,29306,SC,USA,,,,,,,,
,,,,Level3,,Memphis 1,,3993 Crowfarn Drive,,,,Memphis,38118,TN,USA,,,,,,,,
,,,,Level3,,Nashville 3,,2208 9th Avenue North,,,,Nashville,37208,TN,USA,,,,,,,,
,,,,Level3,,Nashville 2,,2530 Perimeter Place Drive,,,,Nashville,37214,TN,USA,,,,,,,,
,,,,Level3,,Nashville 1,,2990 Sidco Drive,,,,Nashville,37204,TN,USA,,,,,,,,
,,,,Level3,,Amarillo 1,,512 SE 8th Ave. ,,,,Amarillo,79101,TX,USA,,,,,,,,
,,,,Level3,,Austin 2,,1825-A Kramer Lane,Suite 100,,,Austin,78758,TX,USA,,,,,,,,
,,,,Level3,,Austin 1,,4207 Smith School Road,,,,Austin,78744,TX,USA,,,,,,,,
,,,,Level3,,Austin 3,,500 B. Chicon Street,,,,Austin,78702,TX,USA,,,,,,,,
,,,,Level3,,Corpus Christi 1,,4901 Westway Drive,,,,Corpus Christi,78408,TX,USA,,,,,,,,
,,,,Level3,,Dallas 3,,1201 Main Street,Suite C112,,,Dallas,75202,TX,USA,,,,,,,,
,,,,Level3,,Dallas 2,,1950 Stemmons Freeway,Suite 6060,,,Dallas,75207,TX,USA,,,,,,,,
,,,,Level3,,Dallas 5,,2323 Bryan Street,10th Floor,,,Dallas,75201-2603,TX,USA,,,,,,,,
,,,,Level3,,Dallas 1,,3180 Irving Blvd,,,,Dallas,75247,TX,USA,,,,,,,,
,,,,Level3,,Dallas 4,,400 S Akard,5th Floor,,,Dallas,75202,TX,USA,,,,,,,,
,,,,Level3,,El Paso 2,,201 E Main Drive,4th Floor,,,El Paso,79901-1340,TX,USA,,,,,,,,
,,,,Level3,,El Paso 1,,501 W. Overland,,,,El Paso,79936,TX,USA,,,,,,,,
,,,,Level3,,Fort Worth 2,,1101 E 9th Street,,,,Fort Worth,76102,TX,USA,,,,,,,,
,,,,Level3,,Fort Worth 1,,1601 Jones Street,,,,Fort Worth,76102,TX,USA,,,,,,,,
,,,,Level3,,Harlingen 1,,514 E. Monroe Ave,,,,Harlingen,78550,TX,USA,,,,,,,,
,,,,Level3,,Houston 4,,1124 Hardy Street,,,,Houston,77020,TX,USA,,,,,,,,
,,,,Level3,,Houston 1,,12001 I-45,,,,Houston,77003,TX,USA,,,,,,,,
,,,,Level3,,Houston 3,,2300 Lyons Avenue,,,,Houston,77020,TX,USA,,,,,,,,
,,,,Level3,,Laredo 1,,518 Farragut,,,,Laredo,78040,TX,USA,,,,,,,,
,,,,Level3,,Lubbock 1,,1502 Ave. N ,,,,Lubbock,79479,TX,USA,,,,,,,,
,,,,Level3,,McAllen 1,,906 Beech Avenue,,,,McAllen,78505,TX,USA,,,,,,,,
,,,,Level3,,San Antonio 2,,1203 N. Frio Street,,,,San Antonio,78207,TX,USA,,,,,,,,
,,,,Level3,,San Antonio 4,,5130 Service Center Drive,Suite 104,,,San Antonio,78218,TX,USA,,,,,,,,
,,,,Level3,,San Antonio 1,,5130 Service Center Drive,Suite 102,,,San Antonio,78218,TX,USA,,,,,,,,
,,,,Level3,,Stratford 1,,501 W. Texas Avenue,,,,Stratford,79084,TX,USA,,,,,,,,
,,,,Level3,,Waco 1,,1417 Airbase Rd,,,,Waco,76705,TX,USA,,,,,,,,
,,,,Level3,,Wichita Falls 1,,301 Lee Street,,,,Wichita Falls,76301,TX,USA,,,,,,,,
,,,,Level3,,Ogden 1,,526 W 17th Street,,,,Ogden,84404,UT,USA,,,,,,,,
,,,,Level3,,Salt Lake City 4,,3670 W 500 S,,,,Salt Lake City,84104,UT,USA,,,,,,,,
,,,,Level3,,Salt Lake City 2,,5035 Harold Gatty Drive,,,,Salt Lake City,84104,UT,USA,,,,,,,,
,,,,Level3,,Salt Lake City 1,,572 S Delong Street,,,,Salt Lake City,84104,UT,USA,,,,,,,,
,,,,Level3,,Herndon 2,,251 Exchange Place,,,,Herndon,20170,VA,USA,,,,,,,,
,,,,Level3,,Herndon 1,,520 Van Buren Street,,,,Herndon,20170,VA,USA,,,,,,,,
,,,,Level3,,Herndon 3,,524 Van Buren St,,,,Herndon,20170,VA,USA,,,,,,,,
,,,,Level3,,McLean 1,,1755 /1757 Old Meadow Road,1st - 2nd Floor,,,McLean,20170,VA,USA,,,,,,,,
,,,,Level3,,Richmond 2,,8145 Staples Mill Road,,,,Richmond,23228,VA,USA,,,,,,,,
,,,,Level3,,Richmond 1,,8851 Park Central Drive,,,,Richmond,23227,VA,USA,,,,,,,,
,,,,Level3,,South Burlington 1,,102 Kimball Ave,,,,South Burlington,5403,VT,USA,,,,,,,,
,,,,Level3,,Seattle 1,,1000 Denny Way,Suite 400,,,Seattle,98109,WA,USA,,,,,,,,
,,,,Level3,,Seattle 3,,1505 5th Avenue,,,,Seattle,98101,WA,USA,,,,,,,,
,,,,Level3,,Seattle 2,,2001 6th Avenue,15th Floor,,,Seattle,98121-2855,WA,USA,,,,,,,,
,,,,Level3,,Madison 1,,612 W Main Street,,,,Madison,53703,WI,USA,,,,,,,,
,,,,Level3,,Albany 4,,10 Airline Dr,,,,Albany,12205,NY,USA,,,,,,,,
,,,,Level3,,Albany 5,,107 Hermes Rd.,,,,Albany,12020,NY,USA,,,,,,,,
,,,,Level3,,Albuquerque 1,,3830 Singer Blvd NE,,,,Albuquerque,87109,NM,USA,,,,,,,,
,,,,Level3,,Austin 4,,2916 Montopolis Dr,,,,Austin,78741,TX,USA,,,,,,,,
,,,,Level3,,Bakersfield 2,,1430 Truxtun Ave,,,,Bakersfield,93301,CA,USA,,,,,,,,
,,,,Level3,,Boise 1,,2223 W Airport Way,,,,Boise,83702,ID,USA,,,,,,,,
,,,,Level3,,Charlotte 4,,5001 Airport Center Pkwy,,,,Charlotte,28208,NC,USA,,,,,,,,
,,,,Level3,,Cincinnati 4,,9490 Meridian Way,,,,Cincinnati,45069,OH,USA,,,,,,,,
,,,,Level3,,Columbia 3,,1401 Main St,,,,Columbia,29203,SC,USA,,,,,,,,
,,,,Level3,,Columbus 4,,226 N 5th St,,,,Columbus,43215,OH,USA,,,,,,,,
,,,,Level3,,Columbus 5,,345 N. 2nd St.,,,,Columbus,43201,OH,USA,,,,,,,,
,,,,Level3,,Dallas 6,,1150 Regal Row,,,,Dallas,75247,TX,USA,,,,,,,,
,,,,Level3,,Dayton 3,,1 S Main St,,,,Dayton,45402,OH,USA,,,,,,,,
,,,,Level3,,Denver 5,,14200 E Jewell Ave,,,,Denver,80012,CO,USA,,,,,,,,
,,,,Level3,,Fresno 2,,7576 N Del Mar Ave,,,,Fresno,93711,CA,USA,,,,,,,,
,,,,Level3,,Fort Worth 3,,515 Houston St,,,,Fort Worth,76102,TX,USA,,,,,,,,
,,,,Level3,,Greensboro 2,,496 Gallimore Dairy Rd,,,,Greensboro,27409,NC,USA,,,,,,,,
,,,,Level3,,Honolulu 1,,3375 Koapaka St,,,,Honolulu,96819,HI,USA,,,,,,,,
,,,,Level3,,Houston 5,,7060 Empire Central Dr,,,,Houston,77040,TX,USA,,,,,,,,
,,,,Level3,,Indianapolis 3,,4625 W 86th St,,,,Indianapolis,46268,IN,USA,,,,,,,,
,,,,Level3,,Las Vegas 3,,3944 E Silvestri Ln,,,,Las Vegas,89120,NV,USA,,,,,,,,
,,,,Level3,,Louisville 3,,332 W. Broadway,17th Floor,,,Louisville,40202,KY,USA,,,,,,,,
