peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Neighboorhood,DC Parent,DC Parent Code,Carrier,Carrier,Carrier,Carrier,Carrier,Carrier,Carrier,Location ,Service Level Agreement,Power/Cooling,Power/Cooling,Power/Cooling,Power/Cooling,Certifications,Certifications,Certifications,Certifications,Certifications,Certifications
,,,,ZenLayer,,,IAD4,12100 Sunrise Valley Dr.,,,,Washington D.C.,20191,,United States,,,,,,,,,,Coresite, VA1,GTT,Level 3,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,SAO1,Alameda Araguaia 3641,,,,Sao Paulo,06455-000,,Brazil,,,,,,,,,Tamboré Barueri/SP,Equinix IBX, SP2,Level 3,,,,,,,"48 km/30 mi to Sao Paulo International Airport - Guarulhos (GRU)
26 km/16 mi to Congonhas (CGH) Airport","99.999+% Power availability
99.99+% Temperature availability
99.99+% Cross Connect availability"," Electrical Capacity – up to 12,0 kVA per rack","UPS Configuration – 4 systems x 1.6 kVA (1,44 kW), and 2 systems x 2,000 kVA (1,840 kW), 2N","  Cooling capacity – up to 12.0 kVA per rack (36,709 BTUH)",, ISAE3402 e SSAE16 SOC1 Tipo II,SAP Infrastructure Operations Services, ISO 27001:2013,ISO 9001:2008, PCI DSS 3.0, TIER III
,,,,ZenLayer,,,PAR1,Paris Nord 2,167 Rue de la Belle Etoile,,,Paris,95948,,France,,,,,,,,,"Roissy, CDG Cedex",Equinix IBX, PA1,GTT,,,,,,," 21 km/13 mi to Paris Gare du Nord Train Station
9 km (5.5 mi) to Paris- Charles de Gaulle Airport (CDG)","99.999+% Power availability
99.99+% Temperature & Humidity availability
99.99+% Cross Connect availability",Electrical Capacity – 1 kVA/m2, UPS Configuration – Three (3x500 kVA),UPS Topology – N+N distribution redundancy principal,Cooling Capacity – .65 kW/m² (2218 BTUH), ISO 9001:2008,ISO 27001, ISAE 3402,,,
,,,,ZenLayer,,,FRA1,Hanauer Landstraße 298,,,,Frankfurt,60314,,Germany,,,,,,,,,,Interxion,,GTT,Tata,,,,,,17 km/11 mi to Frankfurt Airport (FRA),99.999% availability,"Power –  two power feeds for all equipment, each independently equipped with UPS (2N)", High density power configurations,Cooling – N+1 redundancy,,ISO/IEC 27001, ISO 22301, ISO 9001,PCI DSS,,
,,,,ZenLayer,,,MIL1,Via Caldera 21,Building C,,"21 Piastra Della, Palazzina",Milan,C 20153,,Italy,,,,,,,,,,Interoute,,GTT,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,ROM1,Via Cornelia 498,,,,Rome,166,,Italy,,,,,,,,,,Interoute,,GTT,,,,,,,,,,,,, ISO 27001,ISO 20000, PCI DSS (9&12), ISAE 3402,SSAE 16 Type II,
,,,,ZenLayer,,,MOW1,41 Korovinskoye Shosse,,,,Moscow,125412,,Russia,,,,,,,,,,Dataline,,Dataline,,,,,,,,,,,,,,,,,,
,,,,ZenLayer,,,MAD1,71 Calle Albasanz,,,,Madrid,28037,,Spain,,,,,,,,,,Interxion,,GTT,,,,,,, 6 km/4 mi to Madrid Airport (MAD), 99.999% availability,"Power – 2x15 MVA redundant grid connection, 2N UPS redundancy, N+1 backup generators",High density power configurations, Powered by 100% renewable energy,Cooling – N+1 redundancy, ISO 20000, ISO 27001,BS 25999,,,
,,,,ZenLayer,,,DXB1,IMPZ,,,,Dubai,,,United Arab Emirates,,,,,,,,,,Equinix IBX, DX1,Du,,,,,,,38 km/24 mi to Dubai International Airport,"99.999+% Power availability
99.99+% Temperature & Humidity availability
99.99+% Cross Connect availability","Electrical Capacity – up to 6 kVA per cabinet, higher capacity at request", UPS Topology – Distributed Redundant,Cooling Capacity – 1.35 kW/m²,Cooling Plant – Chillers & CRACs N+1 configuration,ISO 27001:2005,ISO 9001: 2008,,,,
,,,,ZenLayer,,,MEL1,600 Lorimer Street,Port Melbourne,,,Melbourne,3207,,Australia,,,,,,,,,Port Melbourne Victor,Equinix IBX, ME1,Equinix,,,,,,,   27 km/17 mi to Melbourne International Airport (MEL),"99.999+% Power availability
99.99+% Temperature & Humidity availability
99.99+% Cross Connect availability",Electrical Capacity – 3.5 kVA per cabinet,UPS configuration – 5 x 1600 kVA (N+1 block redundant),Cooling Capacity – 3.5kVA/Cab,,ISO/IEC 27001: 2013,,,,,
