peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Internet Exchange,123.NET,Alpheus,AT&T,CenturyLink,Charter,CoastCom,Cogent,Comcast,Cox,DQE,Electric Lightwave (Integra),EnTouch,euNetworks,FiberLight,Fibertech,FORETHOUGHT.net,FPL (Fibernet Direct),GTT,Interoute,Layer 42 (Wave),Level 3,Level 3 (Former Global Crossing),Lightower,Lumos,Megaport,MUFN,Neutral Path Communications LH,Paxio,Phonoscope,Silicon Valley Fiber,Southern Light,Summit IG,Telia,TelNet,Time Warner Cable,US Signal,Verizon Fiber,Wave,Windstream,WOW! Business,Xmission Utopia,XO,Zayo,Nearby,Nearby,Nearby,Nearby,Nearby,Nearby,Nearby
,,,,EdgeConnex,,,EDCHOU01,1510 Primewest Parkway,,,,Katy ,77449,TX,US,,,,,,,,,,,"Diverse Entrances, Dark, Lit, Business DIA","Diverse Entrances, Lit, Business DIA",,,,"Diverse Entrances, IP Transit, Business DIA","Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,"Lit, IP Transit, Business DIA",,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,"Lit, IP Transit, Business DIA",,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",CenturyLink,EarthLink,Verizon Fiber,XO,,,
,,,,EdgeConnex,,,EDCJAX01,6602 Executive Park Ct N,Unit #105,,,Jacksonville,32216,FL,US,,,,,,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, IP Local Peering",,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,,,,,DFS Fiber,Level 3,Parallel Infrastructure,Windstream,,,
,,,,EdgeConnex,,,EDCLAS01,1541 Pama Ln,,,,Las Vegas,89119,NV,US,,,,,,,,,Vegas-IX,,,,,,,"Diverse Entrances, IP Transit, Business DIA",,"Diverse Entrances, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",Telepacific,XO,,,,,
,,,,EdgeConnex,,,EDCMAD01,4916 E Broadway,Pod #1,,,Madison,53716,WI,US,,,,,,,,,MAD-IX:not choosen when they willbe rolling outyet,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,Diverse Entrances,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark",,,,,,,,,,,,,Business DIA,,,,,,,,,,,
,,,,EdgeConnex,,,EDCMEM01,4005 S Mendenhall Rd,Unit #6,,,Memphis,38115,TN,US,,,,,,,,,,,,,,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",Windstream,XO,,,,,
,,,,EdgeConnex,,,EDCMIA01,2132 NW 114th Ave,,,,Miami ,33172,FL,US,,,,,,,,,Community IX-Awaiting red-lines D.temkin ~6/30/17,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,CenturyLink,Windstream,Zayo,,,,
,,,,EdgeConnex,,,EDCMIA02,475 NE 185th St,,,,Miami Gardens,33179,FL,US,,,,,,,,,Community-IX-Awaiting red-lines D.temki ~6/30/17,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,"Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EdgeConnex,,,EDCMSP01,6875 Shady Oak Rd,,,,Eden Prairie,55344,MN,US,,,,,,,,,"MICE-Not a direct node, remote tethering available",,,,"Lit, IP Transit, Business DIA",Diverse Entrances,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,"Lit, IP Transit, Business DIA",,,,,,"Diverse Entrances, Dark, Lit, IP Transit",,,,,,,,,,,,,,,,,Arvig,AT&amp;T,Enventis,Windstream,,,
,,,,EdgeConnex,,,EDCNAS01,1841 Air Lane Dr,Building 3,,,Nashville,37210,TN,US,,,,,,,,,,,,Business DIA,,Diverse Entrances,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",Iris Networks,Level 3,NesNet,Windstream,XO,,
,,,,EdgeConnex,,,EDCNOR01,3800 Village Ave,Suite C,,,Norfolk,23502,VA,US,,,,,,,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,Lightower,Summit IG,Windstream,,,,
,,,,EdgeConnex,,,EDCPHX01,3011 S. 52nd St,Suite 107,,,Tempe,85282,AZ,US,,,,,,,,,PHX-IX,,,,"Diverse Entrances, Lit, Business DIA",,,"Diverse Entrances, IP Transit, Business DIA",,"Diverse Entrances, Lit, IP Transit, Business DIA, IP Global Peering, IP Local Peering",,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,"Diverse Entrances, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,"Diverse Entrances, Lit, IP Transit, Business DIA","Diverse Entrances, Dark, Lit, IP Transit, Business DIA",SRP,Windstream,,,,,
,,,,EdgeConnex,,,EDCPIT01,282 Corliss St,,,,Pittsburgh,15220,PA,US,,,,,,,,,,,,,,,,,"Diverse Entrances, Lit, Business DIA, IP Local Peering",,"Diverse Entrances, Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,"Dark, Lit, IP Transit, Business DIA",,,,,,,,,,,,,,,,,,,,,,,Fibertech,Lightower,Lumos,Sunesys,Windstream,Zayo,
