COUNTRY,CITY,DATA CENTER,Code,Provider,Carrier
China,Shanghai,"Building No. 9, 619 Longchang Rd., Yangpu District
Shanghai 200090
",SHA5,Equinix,CT/CU
China,Shenyang,"Tawan Data Center
No.167-2, Kunshanxi Rd.
Shenyang 110088
",SHE1,China Unicom,China Unicom
China,Shenyang,"China Unicom
84 Huanghebeida St., Huanggu District
Shenyang 110087
",SHE2,China Unicom,China Unicom
China,Shijiazhuang,"China Unicom
89 Kunlun St., Gaoxin District
Shenyang 050000
",SJW1,China Unicom,China Unicom
China,Tianjin,"Yiren
6 Ziyuan Rd., Nankai District
Tianjin 300384
",TSN1,China Telecom,China Telecom
China,Wenzhou,"336 Qingyuan Rd., Leqing District
Wenzhou 325699
",WNZ1,China Telecom/GS,China Telecom
China,Wuhan,"China Telecom
217 Jiefangdadao Rd.
Wuhan 430034
",WUH1,China Telecom,China Telecom
China,Wuxi,"61 Dingshan Rd., Jiangyin District
Wuxi 214434
",WUX1,China Telecom/GS,China Telecom
China,Xi'an,"Suite A10, Block C, Exhibition Center, 55 Shijida Rd., Qindu District
Xianyang 712046
",XIY2,China Telecom/GS,China Telecom
China,Zhuhai,"4th Floor, 2005 Jiuzhoudadaozhong
Zhuhai 519015
",ZUH1,China Unicom/ GS,China Unicom
